<ef> = 2        huffman_code = 01001111100
< W> = 2        huffman_code = 01001111011
<p > = 2        huffman_code = 01001111010
<ys> = 2        huffman_code = 01001111001
<dr> = 2        huffman_code = 01001111000
<aw> = 2        huffman_code = 01001110111
<gu> = 2        huffman_code = 01001110110
<Du> = 2        huffman_code = 01001110101
<rc> = 2        huffman_code = 01001110100
<62> = 2        huffman_code = 01001110011
<ba> = 2        huffman_code = 01001110010
<pu> = 2        huffman_code = 01001110001
<eo> = 2        huffman_code = 01001110000
<do> = 2        huffman_code = 01001101111
< M> = 2        huffman_code = 01001101110
<rp> = 2        huffman_code = 01001101101
<17> = 2        huffman_code = 01001101100
<eg> = 2        huffman_code = 01001101011
<cy> = 2        huffman_code = 01001101010
<br> = 2        huffman_code = 01001101001
<tw> = 2        huffman_code = 01001101000
<Su> = 3        huffman_code = 1111111000
<cc> = 3        huffman_code = 1011111101
<fa> = 3        huffman_code = 1011111100
<na> = 3        huffman_code = 1011111011
<y,> = 3        huffman_code = 1011111010
<ui> = 3        huffman_code = 1011111001
<yi> = 3        huffman_code = 1011111000
<iz> = 3        huffman_code = 1011110111
<It> = 3        huffman_code = 1011110110
<qu> = 3        huffman_code = 1011110101
<ex> = 3        huffman_code = 1011110100
< n> = 3        huffman_code = 1011110011
< S> = 3        huffman_code = 1011110010
<mu> = 3        huffman_code = 1011110001
<ob> = 3        huffman_code = 1011110000
<BC> = 3        huffman_code = 1011101111
<ay> = 3        huffman_code = 1011101110
<ow> = 3        huffman_code = 1011101101
<rk> = 3        huffman_code = 1011101100
< v> = 3        huffman_code = 1011101011
<r,> = 3        huffman_code = 1011101010
<zo> = 3        huffman_code = 1011101001
<ug> = 3        huffman_code = 1011101000
<oi> = 3        huffman_code = 1011100111
<sl> = 3        huffman_code = 1011100110
<ag> = 3        huffman_code = 1011100101
<ry> = 3        huffman_code = 1011100100
<yo> = 3        huffman_code = 1011100011
<ol> = 3        huffman_code = 1011100010
<og> = 3        huffman_code = 1011100001
<ki> = 4        huffman_code = 0101101001
<e-> = 4        huffman_code = 0101101000
<sc> = 4        huffman_code = 0101100111
<e,> = 4        huffman_code = 0101100110
<sa> = 4        huffman_code = 0101100101
<hu> = 4        huffman_code = 0101100100
<xi> = 4        huffman_code = 0101100011
<n,> = 4        huffman_code = 0101100010
<nm> = 4        huffman_code = 0101100001
<so> = 4        huffman_code = 0101100000
<rl> = 4        huffman_code = 0101011111
<ov> = 4        huffman_code = 0101011110
<ap> = 4        huffman_code = 0101011101
<Gr> = 4        huffman_code = 0101011100
<m > = 4        huffman_code = 0101011011
<ph> = 4        huffman_code = 0101011010
<d.> = 4        huffman_code = 0101011001
<b > = 4        huffman_code = 0101011000
<wh> = 4        huffman_code = 0101010111
<wi> = 4        huffman_code = 0101010110
< A> = 4        huffman_code = 0101010101
<ei> = 4        huffman_code = 0101010100
<In> = 4        huffman_code = 0101010011
<ht> = 4        huffman_code = 0101010010
<cr> = 4        huffman_code = 0101010001
<mi> = 5        huffman_code = 0010110000
<uc> = 5        huffman_code = 0000100011
<wo> = 5        huffman_code = 0000100010
<im> = 5        huffman_code = 0000100001
<ks> = 5        huffman_code = 0000100000
<hi> = 5        huffman_code = 0000011111
<mo> = 5        huffman_code = 0000011110
<ni> = 5        huffman_code = 0000011101
<ci> = 5        huffman_code = 0000011100
<sp> = 5        huffman_code = 0000011011
<t.> = 5        huffman_code = 0000011010
<va> = 5        huffman_code = 0000011001
<ll> = 5        huffman_code = 0000011000
<ot> = 5        huffman_code = 0000010111
<um> = 5        huffman_code = 0000010110
<ho> = 5        huffman_code = 0000010101
<up> = 5        huffman_code = 0000010100
<rn> = 5        huffman_code = 0000010011
<du> = 5        huffman_code = 0000010010
<fr> = 5        huffman_code = 0000010001
<gi> = 5        huffman_code = 0000010000
<e.> = 5        huffman_code = 111111111
<am> = 5        huffman_code = 111111110
<ge> = 5        huffman_code = 111111101
<iv> = 6        huffman_code = 110001001
<ud> = 6        huffman_code = 110001000
<os> = 6        huffman_code = 110000111
< g> = 6        huffman_code = 110000110
<ss> = 6        huffman_code = 110000101
<ds> = 6        huffman_code = 110000100
<fe> = 6        huffman_code = 110000011
< B> = 6        huffman_code = 110000010
<ld> = 6        huffman_code = 110000001
<cu> = 6        huffman_code = 110000000
< 1> = 6        huffman_code = 101111111
<cl> = 7        huffman_code = 100011011
<ct> = 7        huffman_code = 100011010
<ia> = 7        huffman_code = 100011001
<mp> = 7        huffman_code = 100011000
<nc> = 7        huffman_code = 011111111
<ig> = 7        huffman_code = 011111110
<id> = 7        huffman_code = 011111101
<by> = 7        huffman_code = 011111100
<rd> = 7        huffman_code = 011001011
< I> = 8        huffman_code = 011001010
<il> = 8        huffman_code = 010111111
<op> = 8        huffman_code = 010111110
<un> = 8        huffman_code = 010111101
<ir> = 8        huffman_code = 010111100
<c > = 8        huffman_code = 010111011
<ul> = 8        huffman_code = 010111010
<pe> = 8        huffman_code = 010111001
<ly> = 8        huffman_code = 010111000
<ai> = 8        huffman_code = 010110111
<tu> = 8        huffman_code = 010110110
<lo> = 8        huffman_code = 010110101
<ca> = 9        huffman_code = 001100111
<rt> = 9        huffman_code = 001100110
<s.> = 9        huffman_code = 001100101
<pr> = 9        huffman_code = 001100100
<rm> = 9        huffman_code = 001100011
<us> = 9        huffman_code = 001100010
<tr> = 9        huffman_code = 001100001
<ru> = 9        huffman_code = 001100000
<we> = 9        huffman_code = 001011111
<no> = 9        huffman_code = 001011110
<od> = 9        huffman_code = 001011101
<bo> = 9        huffman_code = 001011100
<gr> = 9        huffman_code = 001011011
<wa> = 9        huffman_code = 001011010
<gh> = 9        huffman_code = 001011001
<sh> = 10       huffman_code = 000010111
<ut> = 10       huffman_code = 000010110
<ie> = 10       huffman_code = 000010101
<pl> = 10       huffman_code = 000010100
<Th> = 10       huffman_code = 000010011
<gl> = 10       huffman_code = 000010010
<em> = 11       huffman_code = 11100111
< u> = 11       huffman_code = 11100110
<bl> = 11       huffman_code = 11100101
< T> = 11       huffman_code = 11100100
<po> = 11       huffman_code = 11100011
<pp> = 11       huffman_code = 11100010
<vi> = 11       huffman_code = 11100001
<. > = 11       huffman_code = 11100000
<fi> = 11       huffman_code = 11011111
<ch> = 11       huffman_code = 11011110
<ac> = 11       huffman_code = 11010001
<rv> = 12       huffman_code = 11010000
<et> = 12       huffman_code = 11001001
<rs> = 12       huffman_code = 11001000
<li> = 12       huffman_code = 11000111
<ev> = 12       huffman_code = 11000110
<ec> = 12       huffman_code = 11000101
<ey> = 13       huffman_code = 10100101
<be> = 13       huffman_code = 10100100
<ns> = 13       huffman_code = 10100011
<ts> = 13       huffman_code = 10100010
<is> = 13       huffman_code = 10011011
<ne> = 14       huffman_code = 10011010
<si> = 14       huffman_code = 10010011
<s,> = 14       huffman_code = 10010010
< h> = 14       huffman_code = 10010001
<h > = 14       huffman_code = 10010000
<ee> = 14       huffman_code = 10001111
<ad> = 14       huffman_code = 10001110
< d> = 15       huffman_code = 01111001
<io> = 15       huffman_code = 01111000
<l > = 15       huffman_code = 01110111
<ha> = 15       huffman_code = 01110110
<o > = 15       huffman_code = 01110101
< l> = 15       huffman_code = 01110100
<la> = 16       huffman_code = 01100100
<ab> = 16       huffman_code = 01100001
<ri> = 16       huffman_code = 01100000
<fo> = 17       huffman_code = 01000001
< e> = 17       huffman_code = 01000000
<di> = 17       huffman_code = 00111111
< f> = 17       huffman_code = 00111110
<ou> = 17       huffman_code = 00111101
<om> = 17       huffman_code = 00111100
<el> = 18       huffman_code = 00110101
<se> = 18       huffman_code = 00110100
<a > = 19       huffman_code = 00010111
<ic> = 19       huffman_code = 00010110
